Ville;Date et heure;Précipitations (mm);Jours de précipitation
DAV;01.01.1864 00:00;;
DAV;01.01.1865 00:00;;
DAV;01.01.1866 00:00;;
DAV;01.01.1867 00:00;1021.5;98
DAV;01.01.1868 00:00;1048.9;100
DAV;01.01.1869 00:00;865.2;83
DAV;01.01.1870 00:00;721.4;69
DAV;01.01.1871 00:00;;
DAV;01.01.1872 00:00;;
DAV;01.01.1873 00:00;;
DAV;01.01.1874 00:00;829.4;79
DAV;01.01.1875 00:00;;
DAV;01.01.1876 00:00;1092.1;104
DAV;01.01.1877 00:00;1221.4;117
DAV;01.01.1878 00:00;1329.2;127
DAV;01.01.1879 00:00;931;89
DAV;01.01.1880 00:00;1189.2;114
DAV;01.01.1881 00:00;837;80
DAV;01.01.1882 00:00;1171.6;112
DAV;01.01.1883 00:00;862.6;82
DAV;01.01.1884 00:00;623.7;60
DAV;01.01.1885 00:00;852.3;81
DAV;01.01.1886 00:00;791;76
DAV;01.01.1887 00:00;633.9;61
DAV;01.01.1888 00:00;883.1;84
DAV;01.01.1889 00:00;978.9;94
DAV;01.01.1890 00:00;974.6;93
DAV;01.01.1891 00:00;1043.3;100
DAV;01.01.1892 00:00;924.4;88
DAV;01.01.1893 00:00;831.1;79
DAV;01.01.1894 00:00;813;78
DAV;01.01.1895 00:00;809.3;77
DAV;01.01.1896 00:00;1170.2;112
DAV;01.01.1897 00:00;863.6;83
DAV;01.01.1898 00:00;972.8;93
DAV;01.01.1899 00:00;908;87
DAV;01.01.1900 00:00;867.9;83
DAV;01.01.1901 00:00;1139.5;109
DAV;01.01.1902 00:00;814.4;78
DAV;01.01.1903 00:00;795.8;76
DAV;01.01.1904 00:00;880.1;84
DAV;01.01.1905 00:00;1005.3;96
DAV;01.01.1906 00:00;855.6;82
DAV;01.01.1907 00:00;987.1;94
DAV;01.01.1908 00:00;970.1;93
DAV;01.01.1909 00:00;888.7;85
DAV;01.01.1910 00:00;1134.4;108
DAV;01.01.1911 00:00;926.1;89
DAV;01.01.1912 00:00;1080.2;103
DAV;01.01.1913 00:00;998.9;96
DAV;01.01.1914 00:00;990.3;95
DAV;01.01.1915 00:00;911.2;87
DAV;01.01.1916 00:00;1246.9;119
DAV;01.01.1917 00:00;899.3;86
DAV;01.01.1918 00:00;912.8;87
DAV;01.01.1919 00:00;968.4;93
DAV;01.01.1920 00:00;976.9;93
DAV;01.01.1921 00:00;757.5;72
DAV;01.01.1922 00:00;1204.6;115
DAV;01.01.1923 00:00;927.7;89
DAV;01.01.1924 00:00;886.6;85
DAV;01.01.1925 00:00;809.7;77
DAV;01.01.1926 00:00;1097.8;105
DAV;01.01.1927 00:00;1045.7;100
DAV;01.01.1928 00:00;1114.5;107
DAV;01.01.1929 00:00;753.1;72
DAV;01.01.1930 00:00;906.1;87
DAV;01.01.1931 00:00;1077.3;103
DAV;01.01.1932 00:00;839.1;80
DAV;01.01.1933 00:00;928.1;89
DAV;01.01.1934 00:00;946.1;90
DAV;01.01.1935 00:00;1272.5;122
DAV;01.01.1936 00:00;972.2;93
DAV;01.01.1937 00:00;995.9;95
DAV;01.01.1938 00:00;860.6;82
DAV;01.01.1939 00:00;1109.2;106
DAV;01.01.1940 00:00;1041.1;100
DAV;01.01.1941 00:00;819.5;78
DAV;01.01.1942 00:00;870.2;83
DAV;01.01.1943 00:00;864.2;83
DAV;01.01.1944 00:00;1104.4;106
DAV;01.01.1945 00:00;968.8;93
DAV;01.01.1946 00:00;929;89
DAV;01.01.1947 00:00;983.6;94
DAV;01.01.1948 00:00;1018.4;97
DAV;01.01.1949 00:00;833.3;80
DAV;01.01.1950 00:00;1043.9;100
DAV;01.01.1951 00:00;1049.1;100
DAV;01.01.1952 00:00;1127.2;108
DAV;01.01.1953 00:00;744.6;71
DAV;01.01.1954 00:00;1303.1;125
DAV;01.01.1955 00:00;888.1;85
DAV;01.01.1956 00:00;944.7;90
DAV;01.01.1957 00:00;884.4;85
DAV;01.01.1958 00:00;1092.5;104
DAV;01.01.1959 00:00;649.4;62
DAV;01.01.1960 00:00;1136.3;109
DAV;01.01.1961 00:00;791.9;76
DAV;01.01.1962 00:00;885.4;85
DAV;01.01.1963 00:00;883.9;85
DAV;01.01.1964 00:00;805.3;77
DAV;01.01.1965 00:00;1169.8;112
DAV;01.01.1966 00:00;1114.1;107
DAV;01.01.1967 00:00;1000;96
DAV;01.01.1968 00:00;1056;101
DAV;01.01.1969 00:00;874.1;84
DAV;01.01.1970 00:00;1238.2;118
DAV;01.01.1971 00:00;703.3;67
DAV;01.01.1972 00:00;779.5;75
DAV;01.01.1973 00:00;1024.2;98
DAV;01.01.1974 00:00;1122.9;107
DAV;01.01.1975 00:00;898.4;86
DAV;01.01.1976 00:00;1027.2;98
DAV;01.01.1977 00:00;1040.2;99
DAV;01.01.1978 00:00;1032;99
DAV;01.01.1979 00:00;1320;126
DAV;01.01.1980 00:00;1022.8;98
DAV;01.01.1981 00:00;1227.4;117
DAV;01.01.1982 00:00;1014.8;97
DAV;01.01.1983 00:00;1086.1;104
DAV;01.01.1984 00:00;915.3;88
DAV;01.01.1985 00:00;913.9;87
DAV;01.01.1986 00:00;993.4;95
DAV;01.01.1987 00:00;1171.8;112
DAV;01.01.1988 00:00;1102.2;105
DAV;01.01.1989 00:00;723.2;69
DAV;01.01.1990 00:00;1022.3;98
DAV;01.01.1991 00:00;843.4;81
DAV;01.01.1992 00:00;975.7;93
DAV;01.01.1993 00:00;1002.9;96
DAV;01.01.1994 00:00;1077.8;103
DAV;01.01.1995 00:00;1102.5;105
DAV;01.01.1996 00:00;995.4;95
DAV;01.01.1997 00:00;959.2;92
DAV;01.01.1998 00:00;933.7;89
DAV;01.01.1999 00:00;1369.7;131
DAV;01.01.2000 00:00;1189.8;114
DAV;01.01.2001 00:00;1268.2;121
DAV;01.01.2002 00:00;1227.5;117
DAV;01.01.2003 00:00;848.7;81
DAV;01.01.2004 00:00;881.1;84
DAV;01.01.2005 00:00;922.9;88
DAV;01.01.2006 00:00;788.5;75
DAV;01.01.2007 00:00;1005;96
DAV;01.01.2008 00:00;1163.7;111
DAV;01.01.2009 00:00;928.6;89
DAV;01.01.2010 00:00;1003.4;96
DAV;01.01.2011 00:00;1070.3;102
DAV;01.01.2012 00:00;1232.3;118
DAV;01.01.2013 00:00;923.7;88
DAV;01.01.2014 00:00;1021.5;98
DAV;01.01.2015 00:00;866;83
DAV;01.01.2016 00:00;1153;110
DAV;01.01.2017 00:00;1193;114
DAV;01.01.2018 00:00;1082.8;104
DAV;01.01.2019 00:00;1314.1;126
DAV;01.01.2020 00:00;1031.9;99
DAV;01.01.2021 00:00;956.6;91
DAV;01.01.2022 00:00;831.4;79
DAV;01.01.2023 00:00;1203.2;115
DAV;01.01.2024 00:00;1002.7;96
