Ville;Date et heure;Précipitations (mm);Jours de précipitation
LSN;01.01.1875 00:00;1174;101
LSN;01.01.1876 00:00;1198.1;103
LSN;01.01.1877 00:00;1257.4;108
LSN;01.01.1878 00:00;1360.9;117
LSN;01.01.1879 00:00;1147.7;99
LSN;01.01.1880 00:00;1081.8;93
LSN;01.01.1881 00:00;1120.7;96
LSN;01.01.1882 00:00;1431.3;123
LSN;01.01.1883 00:00;1104;95
LSN;01.01.1884 00:00;621.4;53
LSN;01.01.1885 00:00;1204.2;103
LSN;01.01.1886 00:00;1273.4;109
LSN;01.01.1887 00:00;899.1;77
LSN;01.01.1888 00:00;1315.5;113
LSN;01.01.1889 00:00;1287.8;111
LSN;01.01.1890 00:00;1186;102
LSN;01.01.1891 00:00;1129;97
LSN;01.01.1892 00:00;1025.1;88
LSN;01.01.1893 00:00;906.3;78
LSN;01.01.1894 00:00;977.7;84
LSN;01.01.1895 00:00;1048;90
LSN;01.01.1896 00:00;1273.4;109
LSN;01.01.1897 00:00;1007.8;87
LSN;01.01.1898 00:00;1015.2;87
LSN;01.01.1899 00:00;964.3;83
LSN;01.01.1900 00:00;1046.1;90
LSN;01.01.1901 00:00;1146;98
LSN;01.01.1902 00:00;1190.4;102
LSN;01.01.1903 00:00;1041.7;89
LSN;01.01.1904 00:00;862.3;74
LSN;01.01.1905 00:00;1200.6;103
LSN;01.01.1906 00:00;756.3;65
LSN;01.01.1907 00:00;1041.1;89
LSN;01.01.1908 00:00;1017;87
LSN;01.01.1909 00:00;1271.2;109
LSN;01.01.1910 00:00;1513.5;130
LSN;01.01.1911 00:00;1027.5;88
LSN;01.01.1912 00:00;1138.7;98
LSN;01.01.1913 00:00;1143.8;98
LSN;01.01.1914 00:00;1298.9;112
LSN;01.01.1915 00:00;1404.4;121
LSN;01.01.1916 00:00;1427.6;123
LSN;01.01.1917 00:00;1338.8;115
LSN;01.01.1918 00:00;1221.2;105
LSN;01.01.1919 00:00;1171.5;101
LSN;01.01.1920 00:00;939.5;81
LSN;01.01.1921 00:00;586.8;50
LSN;01.01.1922 00:00;1599.8;137
LSN;01.01.1923 00:00;1392.5;120
LSN;01.01.1924 00:00;1092.1;94
LSN;01.01.1925 00:00;1048.3;90
LSN;01.01.1926 00:00;1098.2;94
LSN;01.01.1927 00:00;1368;117
LSN;01.01.1928 00:00;1251.5;107
LSN;01.01.1929 00:00;1006.8;86
LSN;01.01.1930 00:00;1715.9;147
LSN;01.01.1931 00:00;1317.7;113
LSN;01.01.1932 00:00;1011.9;87
LSN;01.01.1933 00:00;995.9;86
LSN;01.01.1934 00:00;1045.5;90
LSN;01.01.1935 00:00;1394.6;120
LSN;01.01.1936 00:00;1320.6;113
LSN;01.01.1937 00:00;1269.1;109
LSN;01.01.1938 00:00;1023.8;88
LSN;01.01.1939 00:00;1432.8;123
LSN;01.01.1940 00:00;1306.7;112
LSN;01.01.1941 00:00;1083.1;93
LSN;01.01.1942 00:00;913.9;78
LSN;01.01.1943 00:00;927.9;80
LSN;01.01.1944 00:00;1169.2;100
LSN;01.01.1945 00:00;847.6;73
LSN;01.01.1946 00:00;1049.6;90
LSN;01.01.1947 00:00;963.2;83
LSN;01.01.1948 00:00;1236.2;106
LSN;01.01.1949 00:00;812.6;70
LSN;01.01.1950 00:00;1308.1;112
LSN;01.01.1951 00:00;1287.8;111
LSN;01.01.1952 00:00;1406;121
LSN;01.01.1953 00:00;804.9;69
LSN;01.01.1954 00:00;1264.5;109
LSN;01.01.1955 00:00;1348;116
LSN;01.01.1956 00:00;1186.9;102
LSN;01.01.1957 00:00;910.9;78
LSN;01.01.1958 00:00;1280.4;110
LSN;01.01.1959 00:00;1141.1;98
LSN;01.01.1960 00:00;1415;122
LSN;01.01.1961 00:00;1162;100
LSN;01.01.1962 00:00;923.8;79
LSN;01.01.1963 00:00;1235.6;106
LSN;01.01.1964 00:00;886;76
LSN;01.01.1965 00:00;1487.9;128
LSN;01.01.1966 00:00;1181;101
LSN;01.01.1967 00:00;1170.7;101
LSN;01.01.1968 00:00;1445.8;124
LSN;01.01.1969 00:00;1027.3;88
LSN;01.01.1970 00:00;1304.8;112
LSN;01.01.1971 00:00;874.7;75
LSN;01.01.1972 00:00;829.5;71
LSN;01.01.1973 00:00;959.3;82
LSN;01.01.1974 00:00;1211.2;104
LSN;01.01.1975 00:00;1085.5;93
LSN;01.01.1976 00:00;1033.4;89
LSN;01.01.1977 00:00;1395.3;120
LSN;01.01.1978 00:00;1257.3;108
LSN;01.01.1979 00:00;1151.3;99
LSN;01.01.1980 00:00;1302.2;112
LSN;01.01.1981 00:00;1277.8;110
LSN;01.01.1982 00:00;1348.9;116
LSN;01.01.1983 00:00;1210.2;104
LSN;01.01.1984 00:00;1209.2;104
LSN;01.01.1985 00:00;1229;106
LSN;01.01.1986 00:00;1112.9;96
LSN;01.01.1987 00:00;1295.4;111
LSN;01.01.1988 00:00;1248.1;107
LSN;01.01.1989 00:00;796.6;68
LSN;01.01.1990 00:00;1249.2;107
LSN;01.01.1991 00:00;1064.6;91
LSN;01.01.1992 00:00;1237.4;106
LSN;01.01.1993 00:00;1127.5;97
LSN;01.01.1994 00:00;1342.4;115
LSN;01.01.1995 00:00;1480.2;127
LSN;01.01.1996 00:00;1151.2;99
LSN;01.01.1997 00:00;1140.7;98
LSN;01.01.1998 00:00;1043.5;90
LSN;01.01.1999 00:00;1417.2;122
LSN;01.01.2000 00:00;1152.7;99
LSN;01.01.2001 00:00;1536.9;132
LSN;01.01.2002 00:00;1352.1;116
LSN;01.01.2003 00:00;884.6;76
LSN;01.01.2004 00:00;966.8;83
LSN;01.01.2005 00:00;860.9;74
LSN;01.01.2006 00:00;1286.3;110
LSN;01.01.2007 00:00;1306.5;112
LSN;01.01.2008 00:00;1170.3;101
LSN;01.01.2009 00:00;978.3;84
LSN;01.01.2010 00:00;958;82
LSN;01.01.2011 00:00;912.8;78
LSN;01.01.2012 00:00;1269.8;109
LSN;01.01.2013 00:00;1484.9;128
LSN;01.01.2014 00:00;1272.2;109
LSN;01.01.2015 00:00;907.4;78
LSN;01.01.2016 00:00;1373.3;118
LSN;01.01.2017 00:00;1026.6;88
LSN;01.01.2018 00:00;989.2;85
