Ville;Date et heure;Précipitations (mm);Jours de précipitation
LUG;01.01.1864 00:00;1417.3;90
LUG;01.01.1865 00:00;1388.5;89
LUG;01.01.1866 00:00;1360;87
LUG;01.01.1867 00:00;1591.3;102
LUG;01.01.1868 00:00;1948.3;124
LUG;01.01.1869 00:00;1566.2;100
LUG;01.01.1870 00:00;773.8;49
LUG;01.01.1871 00:00;1091.9;70
LUG;01.01.1872 00:00;2353.1;150
LUG;01.01.1873 00:00;1673.6;107
LUG;01.01.1874 00:00;1142.6;73
LUG;01.01.1875 00:00;1299.9;83
LUG;01.01.1876 00:00;1646.4;105
LUG;01.01.1877 00:00;1749.8;112
LUG;01.01.1878 00:00;1504.8;96
LUG;01.01.1879 00:00;1815.7;116
LUG;01.01.1880 00:00;1519.2;97
LUG;01.01.1881 00:00;1190.7;76
LUG;01.01.1882 00:00;1860.7;119
LUG;01.01.1883 00:00;1624.3;104
LUG;01.01.1884 00:00;965.3;62
LUG;01.01.1885 00:00;1820.2;116
LUG;01.01.1886 00:00;1661.4;106
LUG;01.01.1887 00:00;1613.2;103
LUG;01.01.1888 00:00;2299.7;147
LUG;01.01.1889 00:00;2153.6;137
LUG;01.01.1890 00:00;2011.7;128
LUG;01.01.1891 00:00;2087;133
LUG;01.01.1892 00:00;1713;109
LUG;01.01.1893 00:00;820.1;52
LUG;01.01.1894 00:00;977.3;62
LUG;01.01.1895 00:00;1181.2;75
LUG;01.01.1896 00:00;2479.6;158
LUG;01.01.1897 00:00;1654;106
LUG;01.01.1898 00:00;1634.9;104
LUG;01.01.1899 00:00;950.3;61
LUG;01.01.1900 00:00;1914.5;122
LUG;01.01.1901 00:00;1783.8;114
LUG;01.01.1902 00:00;1472.7;94
LUG;01.01.1903 00:00;1747.5;112
LUG;01.01.1904 00:00;1228.7;78
LUG;01.01.1905 00:00;1945.7;124
LUG;01.01.1906 00:00;1287.9;82
LUG;01.01.1907 00:00;1398.6;89
LUG;01.01.1908 00:00;1321.9;84
LUG;01.01.1909 00:00;1384.7;88
LUG;01.01.1910 00:00;1868.6;119
LUG;01.01.1911 00:00;1795.9;115
LUG;01.01.1912 00:00;1612;103
LUG;01.01.1913 00:00;1508.2;96
LUG;01.01.1914 00:00;1844.1;118
LUG;01.01.1915 00:00;1511.4;96
LUG;01.01.1916 00:00;2003.9;128
LUG;01.01.1917 00:00;1327.8;85
LUG;01.01.1918 00:00;1634.2;104
LUG;01.01.1919 00:00;1364.9;87
LUG;01.01.1920 00:00;2059.1;131
LUG;01.01.1921 00:00;788.9;50
LUG;01.01.1922 00:00;1450.3;93
LUG;01.01.1923 00:00;1413.9;90
LUG;01.01.1924 00:00;1784.8;114
LUG;01.01.1925 00:00;1407.2;90
LUG;01.01.1926 00:00;2072.2;132
LUG;01.01.1927 00:00;1650.2;105
LUG;01.01.1928 00:00;2210;141
LUG;01.01.1929 00:00;1410.3;90
LUG;01.01.1930 00:00;1497.3;96
LUG;01.01.1931 00:00;1478.5;94
LUG;01.01.1932 00:00;1915.5;122
LUG;01.01.1933 00:00;1490.5;95
LUG;01.01.1934 00:00;1994;127
LUG;01.01.1935 00:00;1798.7;115
LUG;01.01.1936 00:00;1695.8;108
LUG;01.01.1937 00:00;1938;124
LUG;01.01.1938 00:00;1608.1;103
LUG;01.01.1939 00:00;2088.4;133
LUG;01.01.1940 00:00;1377.2;88
LUG;01.01.1941 00:00;1688.6;108
LUG;01.01.1942 00:00;1307.9;83
LUG;01.01.1943 00:00;1108.9;71
LUG;01.01.1944 00:00;1217.2;78
LUG;01.01.1945 00:00;1269.2;81
LUG;01.01.1946 00:00;1603.2;102
LUG;01.01.1947 00:00;1352.9;86
LUG;01.01.1948 00:00;1602.4;102
LUG;01.01.1949 00:00;1208;77
LUG;01.01.1950 00:00;1609.3;103
LUG;01.01.1951 00:00;2224.3;142
LUG;01.01.1952 00:00;1396.9;89
LUG;01.01.1953 00:00;1365.3;87
LUG;01.01.1954 00:00;1670.5;107
LUG;01.01.1955 00:00;1209.5;77
LUG;01.01.1956 00:00;1522.8;97
LUG;01.01.1957 00:00;1829.6;117
LUG;01.01.1958 00:00;1567.3;100
LUG;01.01.1959 00:00;1842.1;118
LUG;01.01.1960 00:00;2594.8;166
LUG;01.01.1961 00:00;1272.7;81
LUG;01.01.1962 00:00;1020;65
LUG;01.01.1963 00:00;2192.4;140
LUG;01.01.1964 00:00;1297.6;83
LUG;01.01.1965 00:00;1196.1;76
LUG;01.01.1966 00:00;1861.8;119
LUG;01.01.1967 00:00;1313.5;84
LUG;01.01.1968 00:00;1676.8;107
LUG;01.01.1969 00:00;1175.9;75
LUG;01.01.1970 00:00;1404.2;90
LUG;01.01.1971 00:00;1494.7;95
LUG;01.01.1972 00:00;1618.3;103
