Ville;Date et heure;Précipitations (mm);Jours de précipitation
ZRH;01.01.1864 00:00;649.9;59
ZRH;01.01.1865 00:00;668.2;60
ZRH;01.01.1866 00:00;1206.8;109
ZRH;01.01.1867 00:00;1301.9;118
ZRH;01.01.1868 00:00;856.1;77
ZRH;01.01.1869 00:00;975.1;88
ZRH;01.01.1870 00:00;812.9;73
ZRH;01.01.1871 00:00;772.3;70
ZRH;01.01.1872 00:00;1177.4;106
ZRH;01.01.1873 00:00;1043.8;94
ZRH;01.01.1874 00:00;884.3;80
ZRH;01.01.1875 00:00;1101.4;99
ZRH;01.01.1876 00:00;1605.3;145
ZRH;01.01.1877 00:00;933.2;84
ZRH;01.01.1878 00:00;1164;105
ZRH;01.01.1879 00:00;1011.1;91
ZRH;01.01.1880 00:00;979.5;88
ZRH;01.01.1881 00:00;954;86
ZRH;01.01.1882 00:00;1166.9;105
ZRH;01.01.1883 00:00;924.2;83
ZRH;01.01.1884 00:00;821;74
ZRH;01.01.1885 00:00;1039.7;94
ZRH;01.01.1886 00:00;1098.8;99
ZRH;01.01.1887 00:00;862.3;78
ZRH;01.01.1888 00:00;1244.2;112
ZRH;01.01.1889 00:00;974.4;88
ZRH;01.01.1890 00:00;935.8;84
ZRH;01.01.1891 00:00;1193.5;108
ZRH;01.01.1892 00:00;1007.4;91
ZRH;01.01.1893 00:00;801.6;72
ZRH;01.01.1894 00:00;974.3;88
ZRH;01.01.1895 00:00;880.8;80
ZRH;01.01.1896 00:00;1107;100
ZRH;01.01.1897 00:00;1108.8;100
ZRH;01.01.1898 00:00;1022.7;92
ZRH;01.01.1899 00:00;856.7;77
ZRH;01.01.1900 00:00;1033.3;93
ZRH;01.01.1901 00:00;997.1;90
ZRH;01.01.1902 00:00;1136.9;103
ZRH;01.01.1903 00:00;991.1;89
ZRH;01.01.1904 00:00;934.1;84
ZRH;01.01.1905 00:00;1251.8;113
ZRH;01.01.1906 00:00;919.3;83
ZRH;01.01.1907 00:00;938.2;85
ZRH;01.01.1908 00:00;975.9;88
ZRH;01.01.1909 00:00;1016.8;92
ZRH;01.01.1910 00:00;1446.3;131
ZRH;01.01.1911 00:00;728.5;66
ZRH;01.01.1912 00:00;1150.9;104
ZRH;01.01.1913 00:00;977.6;88
ZRH;01.01.1914 00:00;1120.5;101
ZRH;01.01.1915 00:00;1068.9;96
ZRH;01.01.1916 00:00;1219.5;110
ZRH;01.01.1917 00:00;1078.8;97
ZRH;01.01.1918 00:00;999.5;90
ZRH;01.01.1919 00:00;1032.1;93
ZRH;01.01.1920 00:00;726.5;66
ZRH;01.01.1921 00:00;711;64
ZRH;01.01.1922 00:00;1346.3;122
ZRH;01.01.1923 00:00;1025.6;93
ZRH;01.01.1924 00:00;980;88
ZRH;01.01.1925 00:00;988.7;89
ZRH;01.01.1926 00:00;967.4;87
ZRH;01.01.1927 00:00;1180.2;107
ZRH;01.01.1928 00:00;960.1;87
ZRH;01.01.1929 00:00;915.3;83
ZRH;01.01.1930 00:00;1310.2;118
ZRH;01.01.1931 00:00;1229.1;111
ZRH;01.01.1932 00:00;991.1;89
ZRH;01.01.1933 00:00;1029.7;93
ZRH;01.01.1934 00:00;966.3;87
ZRH;01.01.1935 00:00;1196.7;108
ZRH;01.01.1936 00:00;1249.4;113
ZRH;01.01.1937 00:00;1063.5;96
ZRH;01.01.1938 00:00;1046.1;94
ZRH;01.01.1939 00:00;1358.4;123
ZRH;01.01.1940 00:00;1370.3;124
ZRH;01.01.1941 00:00;1006.3;91
ZRH;01.01.1942 00:00;926.3;84
ZRH;01.01.1943 00:00;763.1;69
ZRH;01.01.1944 00:00;1087.2;98
ZRH;01.01.1945 00:00;1012.1;91
ZRH;01.01.1946 00:00;1094.8;99
ZRH;01.01.1947 00:00;874.8;79
ZRH;01.01.1948 00:00;889.2;80
ZRH;01.01.1949 00:00;646.7;58
ZRH;01.01.1950 00:00;1052.7;95
ZRH;01.01.1951 00:00;1076.8;97
ZRH;01.01.1952 00:00;1261.5;114
ZRH;01.01.1953 00:00;844.4;76
